POSITION,EMPLOYEE,PAEMPLOYEE.LOCAT-CODE,DATE-HIRED,CITY,STATE,ZIP,Date of Birth,Pay-rate,H/S
RAMP,7000402,IAD,3/20/2015,STERLING,VA,20166,1/13/1980,10.9,H
RAMP,7008415,IAD,8/22/2013,STERLING,VA,20164,2/10/1989,10.85,H
PAX,7007505,IAD,5/20/2013,BRISTOW,VA,20136,2/11/1974,10.85,H
PAX,7011524,IAD,5/15/2017,HERNDON,VA,20171,3/1/1979,10.1,H
PAX,7012652,IAD,4/7/2015,HERNDON,VA,20170,3/2/1979,10.9,H
PAX,7012844,IAD,5/15/2015,LEESBURG,VA,20175,3/3/1979,10.9,H
PAX,7011164,IAD,6/9/2015,ALEXANDRIA,VA,22309,3/4/1979,10.9,H
PAX,7012932,IAD,6/9/2015,DALE CITY,VA,22193,3/5/1992,10.9,H
RAMP,7013072,IAD,7/27/2015,MANASSAS,VA,20111,3/6/1992,10.9,H
RAMP,7013313,IAD,9/15/2015,CENTREVILLE,VA,20120,3/7/1992,10.9,H
RAMP,7014807,IAD,11/15/2016,STERLING,VA,20164,3/8/1992,10.1,H
RAMP,7013580,IAD,11/17/2015,ANNANDALE,VA,22003,3/9/1994,10.9,H
RAMP,7013693,IAD,1/12/2016,MANASSAS,VA,20109,3/10/1994,10.1,H
RAMP,7013694,IAD,1/12/2016,WOODBRIDGE,VA,22191,3/11/1994,10.1,H
RAMP,7000354,IAD,2/16/2016,MANASSAS,VA,20109,3/12/1994,10.1,H
RAMP,7013891,IAD,3/29/2016,STERLING,VA,20164,3/13/1994,10.1,H
RAMP,7013315,IAD,8/21/2017,STERLING,VA,20166,3/14/1994,10.1,H
RAMP,7014057,IAD,5/24/2016,CENTREVILLE,VA,20121,3/15/1994,10.1,H
RAMP,7014058,IAD,5/24/2016,STERLING,VA,20166,3/16/1994,10.1,H
RAMP,7014323,IAD,8/9/2016,CENTREVILLE,VA,20120,3/17/1997,10.1,H
RAMP,7014405,IAD,8/23/2016,WARRENTON,VA,20186,3/18/1997,10.1,H
RAMP,7014406,IAD,8/23/2016,CHANTILLY,VA,20152,3/19/1997,10.1,H
RAMP,7014407,IAD,8/23/2016,STERLING,VA,20164,3/20/1997,10.1,H
RAMP,7014595,IAD,10/3/2016,HERDON,VA,20171,3/21/1997,10.1,H
RAMP,7014597,IAD,10/3/2016,SILVER SPRING,MD,20904,3/22/1996,10.1,H
RAMP,7014659,IAD,10/17/2016,STAFFORD,VA,22554,3/23/1996,10.1,H
RAMP,7014882,IAD,12/5/2016,SPRINGFIELD,VA,22150,3/24/1996,10.1,H
RAMP,7015013,IAD,1/2/2017,LEESBURG,VA,20176,3/25/1996,10.1,H
RAMP,7015063,IAD,1/16/2017,WOODBRIDGE,VA,22193,3/26/1996,10.1,H
RAMP,7015235,IAD,2/27/2017,ALEXANDRIA,VA,22312,3/27/1991,10.1,H
RAMP,7015239,IAD,2/27/2017,MANASSAS,VA,20110,3/28/1991,10.1,H
RAMP,7015361,IAD,3/20/2017,HERENDON,VA,20170,3/29/1991,10.1,H
RAMP,7015362,IAD,3/20/2017,MANASSAS,VA,20110,3/30/1991,10.1,H
RAMP,7015363,IAD,3/20/2017,WHEATON,MD,20902,3/31/1991,10.1,H
RAMP,7015477,IAD,4/17/2017,DUMFRIES,VA,22026,4/1/1991,10.1,H
RAMP,7015478,IAD,4/17/2017,CENTREVILLE,VA,20121,4/2/1991,10.1,H
RAMP,7015480,IAD,4/17/2017,ASHBURN,VA,20147,4/3/1971,10.1,H
RAMP,7015481,IAD,4/17/2017,HERENDON,VA,20171,4/4/1971,10.1,H
RAMP,7008974,IAD,5/1/2017,ASHBURN,VA,20148,4/5/1971,10.1,H
RAMP,7015535,IAD,5/1/2017,ALEXANDRIA,VA,22307,4/6/1971,10.1,H
RAMP,7015537,IAD,5/1/2017,MANASSAS,VA,20109,4/7/1971,10.1,H
RAMP,7015621,IAD,5/15/2017,STERLING,VA,20164,4/8/1971,10.1,H
RAMP,7015774,IAD,6/12/2017,RESTON,VA,20191,4/9/1971,10.1,H
RAMP,7015835,IAD,6/26/2017,ASHBURN,VA,20148,4/10/1971,10.1,H
RAMP,7015862,IAD,7/3/2017,MANASSAS,VA,20110,4/11/1971,10.1,H
RAMP,7015863,IAD,7/3/2017,SILVER SPRING,MD,20906,4/12/1971,10.1,H
RAMP,7016058,IAD,8/4/2017,MANASSAS PARK,VA,20111,4/13/1971,10.1,H
RAMP,7016059,IAD,8/4/2017,HERENDON,VA,20170,4/14/1971,10.1,H
